date,open,high,low,close,volume
2020-09-21,108.1,119.2,108.1,112.17,8818710
2020-09-22,111.5,112.5,109.71,110.51,1974430
2020-09-23,110.4,110.49,109.08,109.52,1054770
2020-09-24,108.25,108.94,106.35,106.89,667400
2020-09-25,106.51,107.29,106.01,106.44,401040
2020-09-28,106.44,106.44,104.19,104.87,301510
2020-09-29,104.87,108.08,103.55,107.8,470150
2020-09-30,107.08,108.39,107.08,108.0,284570
2020-10-09,107.52,109.44,107.52,109.35,175150
2020-10-12,109.0,111.0,109.0,110.67,375890
2020-10-13,110.1,111.15,110.09,111.01,263520
2020-10-14,110.99,111.0,110.12,110.35,101470
2020-10-15,110.0,110.39,109.53,110.0,92310
2020-10-16,109.99,110.48,108.73,109.38,107900
2020-10-19,109.38,110.21,108.0,109.6,182650
2020-10-20,109.3,109.8,108.4,109.32,93070
2020-10-21,109.02,109.92,108.16,108.69,98120
2020-10-22,108.4,110.11,108.0,109.8,139720
2020-10-23,109.66,112.79,107.79,108.75,200640
2020-10-26,108.21,110.0,107.19,109.0,168690
2020-10-27,108.5,109.02,108.0,108.93,36200
2020-10-28,108.33,111.11,108.33,110.22,84200
2020-10-29,109.82,110.89,109.09,110.43,172270
2020-10-30,110.46,111.16,108.11,108.38,57980
2020-11-02,108.11,109.98,107.0,109.05,76570
2020-11-03,108.1,109.67,108.1,109.31,41740
2020-11-04,108.81,110.49,108.81,110.0,156230
2020-11-05,109.8,111.68,109.77,110.9,273860
2020-11-06,110.59,111.53,110.0,111.08,117890
2020-11-09,110.81,111.99,110.81,111.6,69200
2020-11-10,111.99,111.99,110.48,110.81,109790
2020-11-11,110.03,111.47,109.8,109.88,105200
2020-11-12,109.89,110.6,108.97,109.25,45700
2020-11-13,109.0,109.67,108.67,109.24,35050
2020-11-16,108.88,110.85,108.84,109.85,55510
2020-11-17,109.74,111.58,108.98,109.51,49970
2020-11-18,109.51,110.24,109.24,109.71,14860
2020-11-19,109.1,111.44,108.82,109.59,89660
2020-11-20,109.47,110.95,109.18,110.69,51970
2020-11-23,110.59,112.66,110.11,112.15,71500
2020-11-24,112.2,112.29,111.61,112.0,102960
2020-11-25,112.49,112.99,111.69,112.0,52880
2020-11-26,111.81,112.39,110.5,111.41,88630
2020-11-27,110.67,111.96,110.67,111.31,16410
2020-11-30,111.31,112.63,111.16,111.37,26150
2020-12-01,111.23,112.49,111.06,112.36,29080
2020-12-02,112.24,112.58,112.0,112.5,14070
2020-12-03,112.01,112.5,112.0,112.3,12420
2020-12-04,112.16,112.25,111.94,112.05,9420
2020-12-07,112.0,112.5,111.87,112.0,29930
2020-12-08,111.14,112.1,111.14,111.97,12360
2020-12-09,111.9,112.96,111.51,111.89,63260
2020-12-10,111.8,112.34,111.5,111.5,20450
2020-12-11,111.49,112.92,109.4,109.6,77770
2020-12-14,109.58,109.84,109.07,109.72,13450
2020-12-15,109.4,110.0,106.26,108.24,122920
2020-12-16,107.75,108.34,106.5,106.52,32210
2020-12-17,106.53,106.53,105.14,106.0,177070
2020-12-18,106.11,107.88,105.28,106.11,86260
2020-12-21,107.41,107.52,106.02,107.31,74470
2020-12-22,107.01,107.21,105.61,105.83,19400
2020-12-23,105.82,106.69,105.25,105.91,39910
2020-12-24,105.9,105.91,101.06,101.54,90460
2020-12-25,101.41,104.0,100.81,103.38,77640
2020-12-28,103.01,103.38,100.82,101.15,68520
2020-12-29,101.14,101.51,100.23,100.28,233000
2020-12-30,100.27,101.55,100.27,101.21,115580
