date,open,high,low,close,volume
2021-08-20,131.5,132.39,126.01,129.16,14449870
2021-08-23,128.53,136.75,128.53,134.14,59794270
2021-08-24,134.14,143.08,134.0,140.22,17472890
2021-08-25,141.0,144.77,141.0,143.84,9776700
2021-08-26,143.8,145.0,139.7,140.5,6503940
2021-08-27,140.37,145.36,140.0,143.01,7874380
2021-08-30,141.88,157.5,140.95,150.71,14111970
2021-08-31,152.34,152.45,146.45,148.66,8442530
2021-09-01,149.01,151.88,144.0,148.99,5457110
2021-09-02,148.82,150.3,147.26,147.86,4324000
2021-09-03,147.93,151.75,146.97,147.85,4097430
2021-09-06,148.15,149.0,146.1,148.17,2693370
2021-09-07,148.5,150.24,147.66,149.16,2888200
2021-09-08,149.32,150.5,144.03,145.12,3845990
2021-09-09,145.13,146.88,144.01,144.51,3158100
2021-09-10,144.46,146.46,142.8,143.82,3368350
2021-09-13,144.2,144.29,140.2,140.52,2055450
2021-09-14,140.5,141.04,138.1,138.87,1913780
2021-09-15,139.1,139.36,133.88,136.89,4179880
2021-09-16,136.27,138.6,131.99,132.06,2197380
2021-09-17,133.0,134.41,129.66,131.28,2829820
2021-09-22,131.01,133.09,130.81,131.93,1247070
2021-09-23,132.54,135.9,132.42,133.65,3919330
2021-09-24,133.66,135.38,132.86,132.98,1854920
2021-09-27,133.5,134.8,133.05,133.7,2022960
2021-09-28,133.7,134.19,131.78,132.51,1143610
2021-09-29,132.06,132.24,128.0,128.2,1718000
2021-09-30,128.2,131.44,128.15,130.77,1617790
2021-10-08,131.81,134.4,131.81,132.58,1275070
2021-10-11,132.55,135.0,132.5,133.41,1701760
2021-10-12,133.35,134.11,128.7,130.23,1434630
2021-10-13,130.22,131.19,128.8,129.82,1174090
2021-10-14,129.98,130.69,129.63,129.93,1600090
2021-10-15,130.0,134.36,129.66,132.87,1956180
2021-10-18,132.76,134.26,132.11,133.77,948420
2021-10-19,133.7,137.3,133.52,135.68,1913890
2021-10-20,136.2,137.15,135.02,135.65,740410
2021-10-21,135.71,136.6,133.96,134.12,433650
2021-10-22,134.5,136.0,132.95,132.99,1213300
2021-10-25,134.12,135.11,133.3,134.51,1196240
2021-10-26,134.51,134.93,133.0,133.41,1023710
2021-10-27,137.0,140.5,134.86,135.79,2537480
2021-10-28,135.99,140.0,135.38,136.01,2799060
2021-10-29,136.05,139.56,135.39,139.51,2301320
2021-11-01,142.0,145.58,141.99,145.0,4907970
2021-11-02,144.86,148.54,143.31,144.97,3285830
2021-11-03,147.19,148.5,142.49,143.9,1962480
2021-11-04,143.7,146.5,143.54,145.86,1788220
2021-11-05,147.0,149.68,145.01,147.0,1887660
2021-11-08,147.1,148.47,146.55,146.74,1127930
2021-11-09,146.6,148.35,145.82,147.62,1869140
2021-11-10,147.6,148.0,146.0,147.01,1240880
2021-11-11,146.85,150.92,146.85,149.82,2918750
2021-11-12,149.6,151.41,149.6,151.09,2323370
2021-11-15,150.9,153.2,147.92,148.53,1579020
2021-11-16,148.53,149.63,146.2,147.15,1722200
2021-11-17,147.42,147.59,144.92,146.58,1205770
2021-11-18,146.53,147.59,145.53,145.98,963550
2021-11-19,146.29,147.2,145.0,145.94,1070410
2021-11-22,145.91,151.7,145.8,148.21,4217040
2021-11-23,148.21,149.37,147.31,148.16,1266780
2021-11-24,148.8,151.8,148.67,151.3,2359430
2021-11-25,151.31,153.35,150.53,150.82,1015840
2021-11-26,150.7,151.55,149.54,150.83,777670
2021-11-29,150.65,154.86,148.53,154.11,2190460
2021-11-30,155.0,156.69,152.57,154.96,1550270
2021-12-01,157.0,158.46,155.25,158.1,2396440
2021-12-02,158.15,160.6,156.84,158.21,2278900
2021-12-03,158.3,169.89,158.21,163.46,8245960
2021-12-06,163.33,164.0,159.54,160.16,2322450
2021-12-07,160.01,161.98,152.13,154.13,3091350
2021-12-08,154.13,159.86,153.69,159.22,2759700
2021-12-09,159.22,164.5,158.68,159.31,3401230
2021-12-10,158.0,160.64,157.77,160.32,1514870
2021-12-13,161.01,165.6,160.21,161.08,2606020
2021-12-14,161.14,165.8,159.85,163.98,3103450
2021-12-15,165.0,167.83,162.14,163.06,2018450
2021-12-16,164.0,165.2,161.5,163.45,945130
2021-12-17,162.98,163.43,160.18,160.72,1799760
2021-12-20,160.3,162.4,158.22,159.02,1113190
2021-12-21,159.71,160.36,156.8,159.22,986510
2021-12-22,160.5,163.3,159.5,163.09,1965520
2021-12-23,162.88,164.96,161.82,163.62,1167320
2021-12-24,163.2,165.56,161.29,162.99,966590
2021-12-27,162.8,165.38,161.22,161.81,802060
2021-12-28,162.99,163.4,156.54,159.43,2249820
2021-12-29,159.01,159.95,153.1,156.05,3097440
2021-12-30,156.51,160.0,155.66,157.71,2105400
2021-12-31,157.04,158.99,155.81,157.71,1297910
2022-01-04,158.0,160.3,156.71,158.09,1162110
2022-01-05,157.6,159.01,152.49,155.3,1348860
2022-01-06,154.51,158.06,149.86,157.48,2496640
2022-01-07,157.9,158.87,154.09,155.72,1138700
2022-01-10,154.61,155.9,150.93,153.38,2271520
2022-01-11,152.98,154.8,147.56,148.62,2340210
2022-01-12,149.47,150.37,147.7,149.22,2033260
2022-01-13,149.5,149.8,145.72,146.05,1381050
2022-01-14,146.05,151.46,144.6,147.07,2237430
2022-01-17,148.05,153.5,147.89,150.21,2343790
2022-01-18,150.45,153.45,149.63,150.39,1890210
2022-01-19,150.24,151.31,148.3,149.36,1186850
2022-01-20,149.7,152.2,149.25,150.87,980740
2022-01-21,150.92,151.49,149.12,150.9,1086780
2022-01-24,151.05,155.49,151.03,154.49,1781280
2022-01-25,154.3,155.77,152.3,154.0,1056080
2022-01-26,153.8,154.49,150.28,153.62,1649080
2022-01-27,153.5,153.6,143.49,146.05,2297800
2022-01-28,146.3,147.93,143.5,144.64,2074660
2022-02-07,145.2,148.58,145.2,147.63,1545260
2022-02-08,147.1,148.4,143.07,144.98,1439570
2022-02-09,144.98,148.68,140.44,148.35,1731900
2022-02-10,147.88,150.66,147.61,149.18,1307820
2022-02-11,148.64,149.44,144.2,146.16,1699050
2022-02-14,145.65,145.87,137.71,139.43,4111990
2022-02-15,138.9,140.34,134.08,137.93,5029900
2022-02-16,139.8,141.09,137.81,138.98,2685530
2022-02-17,140.09,140.85,137.6,139.3,3274670
2022-02-18,138.68,139.3,136.36,138.7,1870820
2022-02-21,138.55,139.61,136.6,139.5,1558110
2022-02-22,138.95,138.99,134.05,136.1,3237260
2022-02-23,136.3,142.45,135.76,141.87,3934740
2022-02-24,140.62,144.77,140.62,141.28,2791950
2022-02-25,144.0,145.97,139.38,140.72,3038110
2022-02-28,140.3,141.69,139.0,140.27,2350060
2022-03-01,140.2,142.8,139.83,140.06,3972310
2022-03-02,139.94,140.56,137.6,137.98,3944900
2022-03-03,138.88,139.52,135.31,136.18,3073300
2022-03-04,135.81,136.09,133.64,134.42,3837790
2022-03-07,134.54,134.54,128.0,129.39,3384620
2022-03-08,129.78,129.78,124.8,126.05,4437080
2022-03-09,127.85,127.85,120.29,126.3,3390310
2022-03-10,130.0,132.62,128.83,130.69,5965490
2022-03-11,131.49,132.9,129.19,132.78,3781220
2022-03-14,132.27,132.88,128.5,129.1,2159050
2022-03-15,128.3,130.58,125.78,128.32,3283510
2022-03-16,130.02,133.72,124.7,132.84,4206430
2022-03-17,134.22,136.66,130.58,132.19,3339140
2022-03-18,131.98,132.14,130.01,130.6,1723680
2022-03-21,130.55,131.36,129.0,129.33,2637570
2022-03-22,129.11,129.35,127.5,128.12,1783780
2022-03-23,127.78,128.45,125.84,127.13,3325210
2022-03-24,126.88,126.94,120.0,121.87,3393980
2022-03-25,123.0,124.45,121.4,122.08,5692060
2022-03-28,121.0,121.47,119.0,119.36,2859560
2022-03-29,119.0,119.87,117.51,118.07,2367260
2022-03-30,118.06,120.55,118.06,120.48,1809480
2022-03-31,120.52,120.52,117.9,118.47,1813350
2022-04-01,118.19,120.89,117.55,120.14,2642220
2022-04-06,120.14,120.48,117.62,118.86,1467490
2022-04-07,118.28,119.27,117.66,118.02,1608880
2022-04-08,118.01,118.7,117.1,117.25,1399410
2022-04-11,117.1,117.37,114.7,114.9,2210940
2022-04-12,115.04,115.49,113.1,115.16,1781840
2022-04-13,114.81,115.01,113.41,113.62,1805170
2022-04-14,114.01,117.05,113.85,116.19,2453380
2022-04-15,115.42,117.03,114.91,116.14,1136350
2022-04-18,115.76,117.6,115.12,116.95,1409150
2022-04-19,116.86,117.08,115.88,115.99,1048100
2022-04-20,116.09,116.36,114.81,115.1,758090
2022-04-21,114.88,115.58,113.99,114.0,982910
2022-04-22,114.0,115.04,113.29,114.65,1113110
2022-04-25,114.49,114.5,111.13,111.26,1554800
2022-04-26,111.31,112.97,109.42,109.8,2938380
2022-04-27,109.76,111.88,107.39,110.65,2550090
2022-04-28,110.55,111.74,109.59,110.32,1640820
2022-04-29,111.35,114.88,110.93,113.72,2660170
2022-05-05,113.73,114.85,113.02,113.34,1103820
2022-05-06,112.98,113.16,111.1,111.52,1135860
2022-05-09,111.54,111.97,110.12,110.19,1521270
2022-05-10,109.98,111.94,108.3,111.52,2801530
2022-05-11,111.79,118.38,111.79,115.62,7248310
2022-05-12,116.0,118.0,114.44,114.9,3434410
2022-05-13,115.45,116.81,114.71,115.86,2092980
2022-05-16,116.49,118.14,114.66,115.14,1887530
2022-05-17,115.34,118.56,115.16,118.13,2811500
2022-05-18,118.46,120.0,117.57,119.06,3089300
2022-05-19,118.68,119.0,116.8,118.2,1397250
2022-05-20,118.95,119.28,117.66,118.25,720530
2022-05-23,118.26,118.54,117.61,118.07,477970
2022-05-24,118.11,118.67,114.49,115.04,1010450
2022-05-25,115.11,116.1,114.33,115.41,406280
2022-05-26,115.82,115.82,113.5,113.71,1460950
2022-05-27,113.75,115.08,113.58,114.0,1636180
2022-05-30,114.0,114.57,113.45,113.95,1001080
2022-05-31,113.8,116.2,113.46,115.94,1608640
2022-06-01,115.74,116.33,113.72,114.13,1522670
2022-06-02,114.13,115.6,113.76,114.85,1075850
2022-06-06,114.89,117.68,114.8,117.42,1727690
2022-06-07,117.46,118.1,115.32,115.81,1356080
2022-06-08,117.0,117.58,114.71,115.81,2342950
2022-06-09,115.8,116.74,115.13,115.77,1277090
2022-06-10,115.65,116.65,115.55,116.43,1620040
2022-06-13,116.31,116.84,115.86,116.22,934780
2022-06-14,115.95,116.0,114.27,115.0,1029920
2022-06-15,115.04,116.59,115.04,115.71,1790860
2022-06-16,115.89,117.6,115.89,116.4,2123100
2022-06-17,116.2,116.65,115.68,116.06,570830
2022-06-20,115.85,117.2,115.75,116.65,1012810
2022-06-21,116.95,117.2,115.95,116.05,465670
2022-06-22,116.0,116.48,114.54,114.96,647550
2022-06-23,115.09,115.53,114.6,115.01,1713730
2022-06-24,115.1,118.18,115.01,117.6,4535900
2022-06-27,118.38,120.64,118.1,119.62,2969750
2022-06-28,119.89,124.95,119.27,123.81,6775710
2022-06-29,124.56,127.33,120.31,120.65,9037760
2022-06-30,121.44,125.24,121.1,123.18,6332740
2022-07-01,123.19,123.53,122.05,122.13,1393990
2022-07-04,122.0,122.0,119.74,120.76,1825120
2022-07-05,120.83,122.48,119.55,120.33,1494860
2022-07-06,120.33,121.92,118.0,118.95,2404500
2022-07-07,119.24,119.73,118.1,118.75,948510
2022-07-08,119.25,121.26,119.05,120.51,2500240
2022-07-11,120.53,121.67,119.46,120.03,1359260
2022-07-12,119.8,121.0,117.81,117.95,840570
2022-07-13,117.8,118.92,117.31,117.52,1109020
2022-07-14,117.88,119.19,117.51,118.41,734250
2022-07-15,118.45,121.63,118.08,118.44,1567020
2022-07-18,118.8,120.82,117.4,120.18,987540
2022-07-19,120.36,121.0,118.81,119.77,853500
2022-07-20,120.2,121.7,120.0,120.15,861670
2022-07-21,120.34,121.92,120.08,120.46,1517020
2022-07-22,120.57,121.26,119.5,119.63,485110
2022-07-25,119.62,119.92,118.55,118.77,380610
