date,open,high,low,close,volume
2021-06-01,113.55,118.4,106.91,107.06,7406740
2021-06-02,106.92,107.68,104.51,105.02,1664310
2021-06-03,105.02,105.4,103.1,103.21,976410
2021-06-04,103.31,104.21,103.29,103.36,609360
2021-06-07,103.6,104.8,103.5,104.06,647850
2021-06-08,104.2,104.6,103.15,103.31,363380
2021-06-09,103.32,103.55,103.0,103.34,271490
2021-06-10,103.34,103.8,103.22,103.26,196030
2021-06-11,103.65,103.68,102.77,102.8,214970
2021-06-15,102.79,102.8,101.58,101.62,225650
2021-06-16,101.63,102.49,101.47,101.54,223850
2021-06-17,101.43,101.8,100.9,101.04,188420
2021-06-18,101.09,101.33,100.76,100.82,163940
2021-06-21,100.81,101.26,100.76,101.0,199730
2021-06-22,101.25,101.52,101.03,101.29,191200
2021-06-23,101.36,104.28,101.19,102.73,643110
2021-06-24,103.04,103.1,102.6,102.93,176660
2021-06-25,103.05,103.62,103.01,103.59,269310
2021-06-28,103.88,104.2,103.7,104.08,168780
2021-06-29,104.08,104.2,103.1,103.15,128440
2021-06-30,103.03,103.68,102.9,102.96,79580
2021-07-01,102.89,103.1,102.6,102.6,105980
2021-07-02,102.7,102.77,101.75,101.86,82720
2021-07-05,101.88,102.05,101.67,101.78,58900
2021-07-06,101.79,101.99,101.73,101.8,55070
2021-07-07,101.51,104.33,101.51,102.73,355130
2021-07-08,102.77,102.88,102.4,102.45,71900
2021-07-09,102.5,102.65,102.1,102.46,104370
2021-07-12,102.5,102.91,102.35,102.89,133950
2021-07-13,102.89,104.14,102.71,103.95,301020
2021-07-14,104.05,104.19,103.71,103.79,116330
2021-07-15,103.77,103.77,102.35,103.28,151120
2021-07-16,103.2,103.71,103.2,103.36,75260
2021-07-19,103.36,103.59,102.91,102.93,52470
2021-07-20,102.93,103.73,102.78,102.89,167000
2021-07-21,103.01,103.79,102.81,103.71,130620
2021-07-22,103.7,103.7,103.18,103.42,110800
2021-07-23,103.42,103.42,102.92,103.01,90880
2021-07-26,103.01,103.1,101.75,102.11,131800
2021-07-27,102.13,102.43,101.3,101.4,130230
2021-07-28,101.3,104.68,100.0,102.89,1121050
2021-07-29,102.7,104.13,101.51,102.95,624690
2021-07-30,102.95,107.99,102.51,104.08,1708730
2021-08-02,104.23,106.51,104.23,104.98,782780
2021-08-03,105.09,110.42,104.8,108.98,3777370
2021-08-04,108.2,108.9,106.3,107.56,1232250
2021-08-05,107.49,112.46,107.49,107.98,1506610
2021-08-06,108.04,108.59,106.78,107.71,400030
2021-08-09,107.8,108.79,107.39,107.56,198910
2021-08-10,107.8,107.85,106.6,106.87,213540
2021-08-11,106.88,107.09,106.64,106.96,130680
2021-08-12,106.96,107.1,106.35,106.43,89170
2021-08-13,106.6,106.77,105.95,106.0,131320
2021-08-16,106.06,106.51,105.8,106.0,106180
2021-08-17,106.0,106.15,104.85,105.04,122230
2021-08-18,105.04,105.8,104.93,105.23,112350
2021-08-19,105.3,105.62,105.06,105.11,78050
2021-08-20,105.07,105.19,104.11,104.47,97090
2021-08-23,104.58,105.48,104.46,105.08,121980
2021-08-24,105.2,105.5,105.1,105.16,96610
2021-08-25,105.2,105.56,104.99,105.28,90060
2021-08-26,105.28,105.33,105.04,105.1,61500
2021-08-27,105.1,105.25,105.0,105.03,44230
2021-08-30,105.09,105.48,104.93,105.1,51790
2021-08-31,105.1,108.78,105.1,106.13,408560
2021-09-01,106.15,107.0,105.76,105.89,279360
2021-09-02,105.86,106.3,105.85,105.96,96110
2021-09-03,105.96,106.54,105.91,106.33,140340
2021-09-06,106.33,107.3,106.32,107.16,138230
2021-09-07,107.41,107.49,106.8,107.04,80060
2021-09-08,107.02,107.17,106.95,107.04,88410
2021-09-09,107.03,107.29,106.8,107.01,62000
2021-09-10,107.1,107.44,106.56,106.7,105680
2021-09-13,106.84,107.06,106.7,106.85,55130
2021-09-14,106.85,107.21,105.7,105.74,92700
2021-09-15,105.84,106.08,104.81,105.03,60630
2021-09-16,105.08,105.46,104.17,104.21,79300
2021-09-17,104.0,104.17,102.68,103.29,202280
2021-09-22,103.26,103.77,102.39,103.61,120510
2021-09-23,103.62,104.48,103.61,104.4,59840
2021-09-24,104.5,104.52,104.03,104.21,41920
2021-09-27,104.18,104.8,103.47,103.53,61700
2021-09-28,103.7,103.7,103.13,103.51,85630
2021-09-29,103.51,103.51,102.67,102.84,66440
2021-09-30,102.91,103.52,102.91,103.45,30680
2021-10-08,103.61,104.13,103.5,104.05,66620
2021-10-11,104.02,104.28,103.9,103.94,56160
2021-10-12,104.0,104.22,103.22,103.41,41340
2021-10-13,103.5,103.85,102.98,103.48,49160
2021-10-14,103.48,104.14,103.46,103.76,59290
2021-10-15,103.76,103.96,103.56,103.79,44460
2021-10-18,103.86,103.98,103.6,103.73,48150
2021-10-19,103.94,103.94,103.7,103.8,22760
2021-10-20,103.8,103.98,103.68,103.8,29840
2021-10-21,103.87,104.0,103.71,103.73,56350
2021-10-22,103.82,103.85,103.55,103.67,36140
2021-10-25,103.67,103.95,103.43,103.94,47670
2021-10-26,104.35,108.0,104.35,106.5,1196690
2021-10-27,106.99,106.99,104.32,104.84,587030
2021-10-28,104.9,109.0,104.31,105.07,845140
2021-10-29,105.79,106.99,104.82,104.98,222420
2021-11-01,104.99,105.96,104.8,105.68,198170
2021-11-02,105.67,106.77,105.0,105.29,183490
2021-11-03,105.6,107.5,105.53,106.96,509530
2021-11-04,106.96,107.35,106.44,106.86,149000
2021-11-05,106.74,107.01,106.25,106.3,75440
2021-11-08,106.3,106.6,105.8,106.35,138730
2021-11-09,106.23,106.94,106.23,106.65,74550
2021-11-10,106.52,107.1,106.16,107.0,123900
2021-11-11,107.02,107.48,107.0,107.23,83410
2021-11-12,107.35,107.76,107.23,107.55,113140
2021-11-15,107.6,108.26,107.59,108.17,106250
2021-11-16,108.17,110.7,107.65,108.95,380170
2021-11-17,108.96,109.85,108.96,109.6,243410
2021-11-18,109.66,110.0,108.17,108.5,80210
2021-11-19,108.02,109.86,108.01,109.61,91070
2021-11-22,109.9,109.9,108.7,109.8,122350
2021-11-23,109.8,110.5,109.51,109.59,62650
2021-11-24,109.69,109.8,109.21,109.7,40720
2021-11-25,109.67,109.97,109.0,109.24,83480
2021-11-26,109.3,110.68,109.3,110.66,239020
2021-11-29,116.0,118.8,111.69,112.41,1509930
2021-11-30,112.41,123.0,112.0,114.73,4711040
2021-12-01,115.0,116.8,114.19,114.82,1746220
2021-12-02,114.92,116.8,114.41,114.65,761110
2021-12-03,114.69,115.5,114.4,114.85,232130
2021-12-06,115.5,115.5,113.1,113.35,189530
2021-12-07,113.21,114.38,109.72,110.67,333400
2021-12-08,111.59,111.59,110.47,111.13,101650
2021-12-09,111.3,112.64,111.13,111.99,203420
2021-12-10,112.04,112.84,111.89,112.28,100460
2021-12-13,112.34,112.71,112.12,112.36,104450
2021-12-14,112.38,114.12,111.61,111.92,279790
2021-12-15,111.92,112.34,111.0,111.7,82040
2021-12-16,111.71,112.33,111.6,111.8,94680
2021-12-17,112.13,114.0,112.13,113.78,324560
2021-12-20,114.0,114.79,114.0,114.31,116130
2021-12-21,114.35,114.5,113.04,114.22,89960
2021-12-22,114.0,114.7,114.0,114.27,67060
2021-12-23,114.27,114.5,114.08,114.46,52430
2021-12-24,114.49,114.78,113.72,114.05,66620
2021-12-27,114.06,114.83,113.92,114.18,104410
2021-12-28,114.17,114.59,114.03,114.31,47270
2021-12-29,114.31,115.28,113.91,114.77,129050
2021-12-30,115.0,115.4,114.6,114.92,76370
2021-12-31,115.05,115.58,114.86,115.28,79160
2022-01-04,115.3,116.09,115.3,115.97,134490
2022-01-05,116.0,116.3,115.2,115.86,60610
2022-01-06,115.99,116.8,115.86,116.75,92640
2022-01-07,116.9,117.81,116.5,116.86,175480
2022-01-10,118.0,118.9,116.64,117.25,97030
2022-01-11,117.1,117.46,116.76,116.91,91730
2022-01-12,117.0,117.3,116.51,116.84,76200
2022-01-13,116.95,116.99,115.94,116.09,88350
2022-01-14,116.03,116.86,115.14,116.11,238280
2022-01-17,116.08,116.58,115.74,116.11,51350
2022-01-18,116.12,116.46,115.03,115.29,69590
2022-01-19,115.0,115.82,114.9,115.18,69290
2022-01-20,115.17,115.53,114.7,114.88,68030
2022-01-21,114.78,114.94,113.59,113.99,76150
2022-01-24,113.98,114.32,113.52,114.04,39840
2022-01-25,115.38,115.63,113.8,113.96,142220
2022-01-26,113.92,114.53,113.5,113.93,38210
2022-01-27,114.31,114.31,112.91,113.3,37890
2022-01-28,113.24,114.66,113.24,113.84,72700
2022-02-07,114.1,114.59,113.9,114.51,40350
2022-02-08,114.51,115.3,114.51,115.12,58400
2022-02-09,115.14,115.99,115.02,115.95,81440
2022-02-10,116.0,116.37,115.58,116.33,53200
2022-02-11,116.06,116.33,115.91,115.95,40620
2022-02-14,115.95,116.12,113.78,114.07,61590
2022-02-15,114.0,114.1,111.05,111.99,200760
2022-02-16,112.5,113.12,112.13,112.61,54920
2022-02-17,112.8,113.18,112.37,112.64,32240
2022-02-18,112.46,113.2,112.05,113.0,30790
2022-02-21,113.19,113.66,112.9,113.54,28570
2022-02-22,113.87,113.87,112.39,113.23,32670
2022-02-23,113.12,113.66,113.0,113.59,34400
2022-02-24,113.59,113.9,111.99,112.97,45050
2022-02-25,113.0,113.93,113.0,113.77,51820
2022-02-28,113.9,113.9,113.01,113.71,33080
2022-03-01,113.73,113.92,113.37,113.72,25670
2022-03-02,113.67,114.12,113.27,114.1,50070
2022-03-03,114.26,114.33,113.68,114.0,27430
2022-03-04,113.98,114.1,113.12,113.21,36590
2022-03-07,113.12,113.47,111.55,111.98,42170
2022-03-08,111.97,111.97,109.83,109.96,74370
2022-03-09,110.0,110.7,108.4,110.14,77890
2022-03-10,110.52,114.16,110.52,110.94,165250
2022-03-11,110.5,111.7,110.1,111.12,138550
2022-03-14,111.15,112.8,111.02,111.11,97760
2022-03-15,111.0,111.11,108.0,108.6,95260
2022-03-16,108.56,109.58,107.99,109.19,44140
2022-03-17,109.8,111.18,109.6,109.88,61440
2022-03-18,109.93,110.47,109.69,110.4,56500
2022-03-21,110.69,111.0,110.33,110.57,35520
2022-03-22,110.47,110.85,110.08,110.65,25520
2022-03-23,110.8,110.81,110.3,110.41,30820
2022-03-24,110.41,110.5,109.66,109.96,27230
2022-03-25,109.96,110.12,109.05,109.13,23590
2022-03-28,108.86,108.91,107.4,107.59,71650
2022-03-29,107.59,107.9,107.39,107.59,23090
2022-03-30,107.54,107.89,107.43,107.64,35560
2022-03-31,107.71,108.29,107.67,108.12,24670
2022-04-01,107.95,108.5,107.95,108.5,17340
2022-04-06,108.48,109.04,108.31,108.85,33900
2022-04-07,109.04,109.15,108.22,108.35,22500
2022-04-08,108.28,108.68,108.18,108.58,18550
2022-04-11,108.58,108.99,108.11,108.31,34510
2022-04-12,108.12,108.65,107.7,108.3,23150
2022-04-13,108.12,108.38,107.0,107.75,41430
2022-04-14,107.63,108.0,107.58,107.98,13670
2022-04-15,107.83,108.14,107.29,107.93,13530
2022-04-18,107.82,108.0,107.0,107.99,16220
2022-04-19,107.88,108.31,107.84,108.31,28040
2022-04-20,108.2,108.62,108.1,108.32,28280
2022-04-21,108.28,108.67,107.52,107.73,34840
2022-04-22,107.1,108.1,107.1,107.89,30200
2022-04-25,107.95,107.98,106.44,106.44,37570
2022-04-26,106.63,106.76,104.77,104.77,92190
2022-04-27,104.78,105.2,103.81,104.49,101140
2022-04-28,104.12,104.35,103.7,103.84,62710
2022-04-29,103.98,105.32,103.9,104.49,307540
2022-05-05,104.28,104.86,104.28,104.53,230240
2022-05-06,104.05,104.82,103.76,104.55,144180
2022-05-09,104.6,104.97,104.4,104.74,148350
2022-05-10,104.71,104.95,104.55,104.79,111580
2022-05-11,104.8,105.47,104.72,104.94,103550
2022-05-12,104.9,105.28,104.82,105.22,60310
2022-05-13,105.25,105.72,105.12,105.65,42380
2022-05-16,105.66,106.34,105.66,105.83,54100
2022-05-17,105.81,106.4,105.66,105.94,64540
2022-05-18,105.88,106.5,105.21,106.4,70490
2022-05-19,106.5,106.8,106.01,106.79,42900
2022-05-20,106.86,107.74,106.79,107.23,60570
2022-05-23,108.01,108.01,107.29,107.95,75110
2022-05-24,107.85,108.23,106.81,106.97,74410
2022-05-25,106.7,107.45,106.7,107.41,46830
2022-05-26,107.19,107.82,107.05,107.56,31350
2022-05-27,107.56,107.81,107.28,107.66,34180
2022-05-30,107.51,109.97,107.16,107.82,460630
2022-05-31,107.74,108.02,107.39,107.84,86840
2022-06-01,107.67,108.18,107.66,107.75,48110
2022-06-02,107.57,107.8,107.17,107.42,53430
2022-06-06,107.21,107.77,107.15,107.53,47320
2022-06-07,107.55,107.87,107.36,107.81,61710
2022-06-08,107.79,108.65,107.75,107.98,129670
2022-06-09,108.11,108.38,107.72,107.91,32610
2022-06-10,107.95,108.17,107.87,108.03,26420
2022-06-13,108.0,108.27,107.69,108.08,32230
2022-06-14,108.07,108.08,107.41,107.77,27560
2022-06-15,107.86,108.16,107.68,108.04,42120
2022-06-16,108.15,109.12,107.97,108.83,61040
2022-06-17,108.81,109.21,108.41,109.15,84940
2022-06-20,108.66,109.22,108.01,108.88,51930
2022-06-21,108.88,109.1,108.5,108.54,33500
2022-06-22,108.88,109.48,108.46,108.59,45710
2022-06-23,108.64,109.44,108.64,109.42,67960
2022-06-24,109.5,110.05,109.47,109.74,174720
2022-06-27,109.76,110.7,109.76,110.55,100880
2022-06-28,110.99,111.28,110.36,111.04,89180
2022-06-29,111.28,111.29,110.2,110.22,73560
2022-06-30,110.35,110.62,110.14,110.47,40770
2022-07-01,110.52,110.77,110.15,110.65,27390
2022-07-04,110.81,110.9,110.08,110.82,41080
2022-07-05,111.07,111.15,110.3,110.47,42260
2022-07-06,110.53,110.58,109.51,109.72,70010
2022-07-07,109.7,109.83,109.44,109.69,38240
2022-07-08,109.79,110.23,109.77,109.93,39810
2022-07-11,110.21,110.21,108.7,109.13,72990
2022-07-12,109.03,109.29,108.5,108.92,38520
2022-07-13,108.83,109.25,108.71,108.97,35160
2022-07-14,109.08,109.19,108.71,108.93,32510
2022-07-15,108.93,109.09,108.45,108.61,26260
2022-07-18,108.6,109.15,108.6,109.09,30390
2022-07-19,109.15,109.73,109.06,109.66,64290
2022-07-20,109.73,116.7,109.73,112.93,4774480
2022-07-21,112.66,113.29,110.77,110.85,1093450
2022-07-22,111.25,111.33,110.52,110.92,255510
2022-07-25,110.61,111.7,110.61,111.24,197740
2022-07-26,111.0,111.5,110.89,111.15,127240
2022-07-27,111.16,111.29,110.76,111.02,105290
2022-07-28,111.0,111.45,111.0,111.33,103670
2022-07-29,111.4,111.54,111.0,111.14,83050
2022-08-01,111.19,111.257,110.75,111.04,78790
2022-08-02,111.03,111.03,109.8,110.057,117830
2022-08-03,110.461,110.56,110.0,110.042,84340
2022-08-04,110.38,110.97,109.982,110.615,77830
2022-08-05,110.616,111.4,110.616,111.308,65400
2022-08-08,111.45,111.59,111.11,111.48,66370
2022-08-09,111.587,111.59,111.2,111.551,37620
2022-08-10,111.589,111.589,111.201,111.353,44390
2022-08-11,111.45,112.077,111.353,111.734,56350
2022-08-12,111.898,111.93,111.6,111.812,49570
2022-08-15,112.371,115.0,111.701,113.599,1574590
2022-08-16,113.6,114.98,113.0,113.802,1064350
2022-08-17,113.828,114.542,113.828,114.181,247360
2022-08-18,114.186,114.387,113.1,113.105,122060
2022-08-19,113.235,113.571,111.905,112.255,158600
2022-08-22,112.4,112.76,111.76,112.602,76840
2022-08-23,112.602,112.98,112.19,112.555,56670
2022-08-24,112.67,112.67,111.5,111.82,100670
2022-08-25,111.5,112.05,109.995,110.534,172760
2022-08-26,110.534,110.976,110.39,110.781,67410
2022-08-29,110.201,110.835,109.89,110.508,52430
2022-08-30,110.55,111.04,109.922,110.721,48110
2022-08-31,110.75,111.06,110.1,110.32,69360
2022-09-01,110.22,110.59,110.0,110.145,57800
2022-09-02,110.04,112.07,110.01,110.363,264310
2022-09-05,110.499,111.04,109.92,110.0,134720
2022-09-06,110.22,110.45,109.97,110.395,46070
2022-09-07,110.437,111.18,110.0,110.993,137850
2022-09-08,111.0,111.18,110.501,110.857,40770
2022-09-09,110.9,111.34,110.689,110.695,52980
2022-09-13,110.74,110.75,110.23,110.61,44480
2022-09-14,110.489,110.55,110.1,110.306,26160
2022-09-15,110.36,110.483,109.97,109.995,53780
2022-09-16,109.941,110.209,109.422,109.427,73290
2022-09-19,109.41,109.732,108.797,108.929,57060
2022-09-20,109.364,109.365,108.61,108.674,64320
2022-09-21,108.7,108.799,108.1,108.709,40000
2022-09-22,108.709,108.92,108.49,108.665,24770
2022-09-23,108.65,108.78,108.11,108.172,42770
2022-09-26,108.14,108.408,107.7,107.758,47890
2022-09-27,107.8,108.3,107.671,108.084,37190
2022-09-28,108.108,108.52,107.814,107.952,30970
2022-09-29,107.91,108.83,107.7,108.612,100100
2022-09-30,108.56,108.88,108.17,108.329,32670
2022-10-10,107.75,108.823,107.66,107.843,53110
2022-10-11,107.75,108.54,107.22,108.501,63790
2022-10-12,108.5,108.88,107.77,108.772,50700
2022-10-13,108.87,109.316,108.773,109.014,56360
2022-10-14,109.114,110.4,109.0,109.812,101200
2022-10-17,109.82,110.588,109.64,110.217,64190
2022-10-18,110.2,110.398,109.629,109.78,46320
2022-10-19,109.73,109.95,109.514,109.687,26500
2022-10-20,109.306,110.0,109.304,109.646,64000
2022-10-21,109.71,110.203,109.71,110.04,88360
2022-10-24,110.04,110.299,108.69,108.962,47560
2022-10-25,108.84,109.1,108.05,108.424,43310
2022-10-26,108.35,109.958,108.35,109.513,54650
2022-10-27,109.29,109.959,108.929,109.288,40740
2022-10-28,109.0,109.168,108.35,108.509,46140
2022-10-31,108.5,108.97,108.008,108.101,41990
2022-11-01,108.101,108.75,108.0,108.367,33720
2022-11-02,108.598,108.97,108.381,108.782,33760
2022-11-03,108.622,108.983,108.27,108.795,31680
