date,open,high,low,close,volume
2023-03-23,122.5,123.37,121.0,121.0,12054274
2023-03-24,121.2,123.158,121.2,122.6,3741325
2023-03-27,122.3,122.5,121.6,122.441,1088073
2023-03-28,122.3,122.436,121.685,122.002,762482
2023-03-29,121.801,122.229,120.601,120.976,648230
2023-03-30,120.675,120.887,119.36,120.3,581630
2023-03-31,120.3,120.723,120.105,120.603,489199
2023-04-03,120.603,120.851,120.351,120.822,172734
2023-04-04,120.665,120.993,120.516,120.85,304475
2023-04-06,120.52,121.056,120.201,120.85,298068
2023-04-07,120.66,123.855,120.52,123.1,719820
2023-04-10,123.0,124.8,122.492,123.81,505914
2023-04-11,123.686,123.701,122.939,123.0,143988
2023-04-12,122.833,124.3,122.679,124.0,189996
2023-04-13,123.683,124.462,123.201,123.729,129210
2023-04-14,123.728,124.18,123.01,123.488,95338
2023-04-17,123.488,123.488,122.3,122.629,203230
2023-04-18,122.5,123.309,121.735,122.08,79731
2023-04-19,122.418,122.418,121.002,121.002,140179
2023-04-20,121.002,121.237,120.125,120.436,167916
2023-04-21,120.255,120.614,119.001,119.16,83954
2023-04-24,119.14,119.701,118.415,118.48,50822
2023-04-25,118.4,118.598,117.0,117.85,179113
2023-04-26,117.779,119.63,117.65,119.37,91339
2023-04-27,119.17,121.0,118.8,120.668,120601
2023-04-28,120.668,120.942,119.997,120.142,51461
2023-05-04,120.0,120.142,118.3,118.38,35287
2023-05-05,118.454,118.737,116.9,117.191,64620
2023-05-08,117.369,117.83,117.0,117.0,87760
2023-05-09,117.0,117.116,116.144,116.2,128589
2023-05-10,116.2,116.475,115.846,115.927,46098
2023-05-11,116.1,116.623,115.8,116.488,139153
2023-05-12,116.499,116.99,113.23,114.9,273169
2023-05-15,114.642,114.796,112.68,114.7,284087
2023-05-16,114.703,116.637,114.5,115.6,235841
2023-05-17,115.72,116.196,115.607,115.85,13782
2023-05-18,115.741,116.1,115.52,115.66,61761
2023-05-19,115.66,115.88,115.046,115.582,18508
2023-05-22,115.813,115.813,115.265,115.672,26742
2023-05-23,115.672,116.3,115.3,116.1,43837
2023-05-24,116.22,116.336,115.399,115.702,67336
2023-05-25,115.72,115.737,115.34,115.401,21558
2023-05-26,115.9,117.64,115.602,117.6,103209
2023-05-29,117.92,117.92,116.745,117.092,27459
2023-05-30,117.0,117.162,116.2,116.602,33328
2023-05-31,116.799,116.799,116.265,116.651,45494
2023-06-01,116.651,117.11,116.201,116.521,49435
2023-06-02,116.536,117.925,116.536,117.734,63771
2023-06-05,117.734,118.01,116.2,116.553,52269
2023-06-06,116.6,116.786,116.002,116.141,16346
2023-06-07,116.141,116.318,115.915,115.929,19348
2023-06-08,115.93,116.2,115.33,115.367,45954
2023-06-09,115.8,115.953,115.45,115.793,28567
2023-06-12,115.798,116.08,115.438,115.561,26049
2023-06-13,115.581,116.199,115.581,115.8,43498
2023-06-14,115.672,116.45,115.4,115.9,83507
2023-06-15,115.91,116.66,115.708,116.48,42909
2023-06-16,116.48,117.0,116.39,116.878,33076
2023-06-19,116.878,117.115,116.56,116.584,27206
2023-06-20,116.583,117.161,115.9,115.989,70576
2023-06-21,115.983,116.199,115.006,115.118,43247
2023-06-26,115.118,115.28,114.33,114.385,30815
2023-06-27,114.385,115.435,114.385,114.955,32792
2023-06-28,114.955,115.111,114.53,114.549,17793
2023-06-29,114.549,115.1,114.549,114.811,32352
2023-06-30,115.0,115.574,114.915,115.437,36017
2023-07-03,115.437,115.76,115.332,115.349,42220
