date,open,high,low,close,volume
2020-08-18,130.0,144.79,130.0,131.988,6692093
2020-08-19,133.4,134.57,125.444,130.495,1800536
2020-08-20,129.0,129.47,125.2,125.25,528684
2020-08-21,125.998,127.339,123.26,123.65,304905
2020-08-24,123.65,124.298,121.713,122.399,180898
2020-08-25,122.66,123.5,122.306,122.503,259417
2020-08-26,122.983,122.983,120.482,120.53,164741
2020-08-27,120.999,123.29,120.01,122.602,242804
2020-08-28,122.6,125.9,121.003,124.679,387064
2020-08-31,125.501,126.2,123.003,124.619,170490
2020-09-01,124.95,130.5,124.66,126.2,933578
2020-09-02,125.991,126.398,124.03,125.79,216635
2020-09-03,125.788,125.8,122.888,124.3,160581
2020-09-04,124.0,127.26,123.02,126.199,304486
2020-09-07,127.02,127.88,125.18,125.5,192544
2020-09-08,126.1,128.88,125.1,126.99,184053
2020-09-09,126.928,131.8,125.3,127.049,1381972
2020-09-10,127.65,127.65,123.202,123.33,311615
2020-09-11,123.36,124.6,122.02,123.495,57751
2020-09-14,124.0,125.97,123.475,124.8,132456
2020-09-15,124.8,128.6,124.2,125.38,188837
2020-09-16,125.001,126.73,123.0,123.118,100564
2020-09-17,123.3,124.118,122.0,122.405,48113
2020-09-18,123.0,124.8,122.2,122.422,70557
2020-09-21,122.421,131.49,122.001,125.875,816718
2020-09-22,125.3,129.1,125.0,125.9,424265
2020-09-23,126.2,126.5,124.249,124.65,129918
2020-09-24,124.6,126.297,123.0,123.0,114998
2020-09-25,123.499,127.179,123.3,124.5,654758
2020-09-28,124.55,128.9,122.655,125.0,1023874
2020-09-29,125.0,130.8,125.0,129.64,1547426
2020-09-30,130.4,131.505,127.6,129.822,567132
2020-10-09,130.0,137.98,130.0,133.35,899585
2020-10-12,133.0,159.6,132.1,157.8,7537422
2020-10-13,155.0,168.5,153.0,155.79,16070344
2020-10-14,155.35,161.857,149.029,152.07,5572165
2020-10-15,152.0,153.43,146.177,146.79,2088037
2020-10-16,147.301,150.5,145.8,146.546,1927092
2020-10-19,146.546,152.7,146.346,148.55,4917877
2020-10-20,147.75,150.319,143.6,148.584,2207840
2020-10-21,149.0,151.85,144.05,144.28,1804873
2020-10-22,144.1,148.956,143.0,146.299,2053470
2020-10-23,151.0,224.0,144.301,151.1,29113057
2020-10-26,166.21,218.16,160.59,187.0,40825137
2020-10-27,205.7,243.0,170.555,176.02,35136337
2020-10-28,169.999,199.99,166.0,174.0,18752390
2020-10-29,172.952,180.9,163.0,165.1,14074452
2020-10-30,168.0,180.0,156.073,161.89,13520554
2020-11-02,157.0,159.0,142.03,142.03,4574764
2020-11-03,142.0,148.88,133.2,148.029,6557217
2020-11-04,162.832,170.0,141.2,146.077,14449252
2020-11-05,144.01,147.656,143.0,143.0,3525935
2020-11-06,143.0,143.6,135.61,135.926,3146550
2020-11-09,135.827,138.803,133.26,137.32,3465224
2020-11-10,138.9,139.6,136.266,137.5,2599141
2020-11-11,136.8,138.9,134.228,134.96,1368349
2020-11-12,134.2,138.55,133.671,138.55,1782681
2020-11-13,140.2,152.55,138.242,148.3,14649264
2020-11-16,147.3,147.979,137.5,138.15,3281132
2020-11-17,139.59,139.98,134.322,137.7,1815590
2020-11-18,137.996,139.4,135.611,136.993,2293844
2020-11-19,136.186,145.808,134.56,140.22,12430180
2020-11-20,138.5,142.68,136.137,136.699,4009366
2020-11-23,135.7,138.99,134.8,136.25,3571369
2020-11-24,136.0,152.0,135.96,142.38,18932827
2020-11-25,140.01,141.748,137.916,138.12,3569061
2020-11-26,138.12,152.396,138.12,143.34,27670125
2020-11-27,142.0,157.3,139.3,142.277,25457389
2020-11-30,143.45,148.799,141.73,146.0,11664401
2020-12-01,145.0,148.37,144.499,146.08,7268126
2020-12-02,145.75,147.5,143.223,143.461,3275940
2020-12-03,142.98,144.7,140.179,140.65,2150650
2020-12-04,141.2,145.8,140.787,142.0,5622162
2020-12-07,141.577,142.88,140.5,140.9,2300642
2020-12-08,141.0,143.2,139.64,140.58,1998411
2020-12-09,140.782,140.85,137.35,138.365,2606010
2020-12-10,140.0,143.116,139.155,141.5,3446425
2020-12-11,143.0,143.78,136.776,137.4,3510216
2020-12-14,137.0,140.0,135.27,136.0,2415689
2020-12-15,136.121,138.245,135.47,136.243,1955356
2020-12-16,136.24,137.963,134.3,135.01,1891828
2020-12-17,135.35,135.35,132.9,133.99,1137856
2020-12-18,133.3,135.1,131.584,132.701,1256596
2020-12-21,132.1,134.97,131.112,133.3,1689802
2020-12-22,133.4,134.503,131.718,133.0,1511177
2020-12-23,133.49,135.799,132.0,135.799,3191375
2020-12-24,138.0,143.0,132.0,132.6,5823164
2020-12-25,133.389,134.7,132.1,132.498,1281890
2020-12-28,132.75,134.28,132.07,133.236,858462
2020-12-29,133.45,134.35,132.522,132.62,789644
2020-12-30,133.0,134.0,130.283,131.204,1119518
2020-12-31,131.3,133.4,130.81,131.73,1750305
2021-01-04,132.9,134.149,132.5,133.33,1193956
2021-01-05,133.01,136.714,133.01,133.65,1458475
2021-01-06,133.8,142.678,133.02,135.503,7910690
2021-01-07,135.503,136.502,132.69,133.3,2247921
2021-01-08,135.501,142.0,133.4,133.451,5614145
2021-01-18,146.795,150.0,135.8,136.25,3981848
2021-01-19,134.75,134.75,131.346,132.25,2194131
2021-01-20,132.0,132.5,130.222,130.703,860586
2021-01-21,131.0,131.49,130.2,130.507,470385
2021-01-22,130.5,130.754,125.623,126.91,735847
2021-01-25,126.998,129.35,125.0,125.253,641677
2021-01-26,125.5,125.5,120.5,120.588,438744
2021-01-27,120.525,121.65,97.758,112.046,863710
2021-01-28,112.139,112.273,109.44,110.0,442629
2021-01-29,110.19,110.68,102.47,105.9,400231
2021-02-01,103.0,105.499,100.207,100.8,469352
2021-02-02,100.95,102.92,100.4,101.601,399161
2021-02-03,102.0,102.386,100.211,101.0,164835
2021-02-04,101.391,105.599,99.96,101.2,506822
2021-02-05,101.05,103.707,98.2,98.2,241449
2021-02-08,98.22,98.58,91.01,91.1,396971
2021-02-09,91.299,94.86,90.305,93.5,762583
2021-02-10,93.79,95.0,93.501,94.5,239810
2021-02-18,95.73,98.151,94.77,97.154,330030
2021-02-19,97.67,101.666,97.001,100.553,623700
2021-02-22,101.2,104.218,100.606,101.03,454260
2021-02-23,100.57,107.305,99.702,105.965,2604033
2021-02-24,105.9,105.9,101.26,102.3,705584
2021-02-25,102.3,104.9,100.475,100.82,791710
2021-02-26,100.999,103.15,100.473,101.126,333244
2021-03-01,102.3,103.6,101.69,102.92,280662
2021-03-02,102.8,104.39,102.33,103.095,266460
2021-03-03,103.0,103.5,102.35,103.2,241020
2021-03-04,102.999,105.65,101.493,102.06,738530
2021-03-05,101.1,102.99,101.1,102.217,335270
2021-03-08,102.28,102.798,100.183,100.811,178450
2021-03-09,100.914,101.185,98.569,99.6,194652
2021-03-10,100.01,103.99,99.59,103.372,964394
2021-03-11,105.003,105.88,101.699,102.38,1056615
2021-03-12,102.65,103.363,101.0,101.501,324660
2021-03-15,101.7,103.12,101.495,102.22,468820
2021-03-16,102.115,103.18,101.812,102.199,354191
2021-03-17,102.199,104.24,101.901,102.8,886732
2021-03-18,102.8,103.45,101.8,102.2,402500
2021-03-19,102.2,106.5,102.0,103.0,1819400
2021-03-22,103.12,104.232,102.501,103.39,510279
2021-03-23,103.44,103.687,101.389,101.866,302257
2021-03-24,102.0,103.2,101.5,101.5,369265
2021-03-25,102.0,102.0,100.7,101.0,201098
2021-03-26,100.991,101.35,100.718,100.842,192342
2021-03-29,101.037,102.177,100.86,101.053,292806
2021-03-30,100.917,105.68,100.9,103.9,2406574
2021-03-31,103.0,103.298,100.95,101.045,551090
2021-04-01,101.045,102.83,101.002,101.21,376993
2021-04-02,101.97,101.97,100.71,101.04,180740
2021-04-06,101.799,102.8,101.379,101.461,448270
2021-04-07,101.461,101.898,101.25,101.497,142898
2021-04-08,101.32,101.853,101.02,101.23,173107
2021-04-09,101.235,102.294,101.235,101.535,169614
2021-04-12,101.85,101.85,100.68,100.72,120221
2021-04-13,100.7,101.11,100.001,100.1,78612
2021-04-14,100.1,100.449,99.83,100.04,93800
2021-04-15,100.111,101.33,99.9,100.5,252580
2021-04-16,102.0,102.779,101.0,101.01,332364
2021-04-19,101.2,101.489,100.717,101.22,180225
2021-04-20,101.22,101.799,101.101,101.33,207900
2021-04-21,101.35,102.0,101.064,101.5,145297
2021-04-22,101.488,102.44,101.401,102.44,157204
2021-04-23,102.05,102.426,101.24,101.32,87154
2021-04-26,102.0,102.0,101.32,101.57,81718
2021-04-27,101.499,101.602,99.999,100.35,146232
2021-04-28,100.443,100.929,100.045,100.8,90976
2021-04-29,100.799,102.22,100.42,100.998,103720
2021-04-30,101.08,101.777,100.11,100.13,93241
2021-05-06,100.279,101.2,100.05,100.26,190934
2021-05-07,100.5,105.207,100.314,101.56,708593
2021-05-10,102.701,105.1,101.7,105.1,522758
2021-05-11,108.0,119.361,100.0,113.0,8402601
2021-05-12,113.999,114.38,105.0,105.1,1895738
